matchNumber,alliance,scouterInitials,selectTeam,startPoses0,startPoses1,startPoses2,startPoses3,startPoses4,startPoses5,autoCoralPlaceL1Count,autoCoralPlaceL2Count,autoCoralPlaceL3Count,autoCoralPlaceL4Count,autoCoralPlaceDropMissCount,autoCoralPickPreloadCount,autoCoralPickStationCount,autoCoralPickMark1Count,autoCoralPickMark2Count,autoCoralPickMark3Count,autoAlgaePlaceNetShot,autoAlgaePlaceProcessor,autoAlgaePlaceDropMiss,autoAlgaePickReefCount,autoAlgaePickMark1Count,autoAlgaePickMark2Count,autoAlgaePickMark3Count,autoPassedStartLine,teleopCoralPlaceL1Count,teleopCoralPlaceL2Count,teleopCoralPlaceL3Count,teleopCoralPlaceL4Count,teleopCoralPlaceDropMissCount,teleopCoralPickStationCount,teleopCoralPickCarpetCount,teleopAlgaePlaceNetShot,teleopAlgaePlaceProcessor,teleopAlgaePlaceDropMiss,teleopAlgaePickReefCount,teleopAlgaePickCarpetCount,shallowClimbAttempted,deepClimbAttempted,parkAttempted,climbFailed,playedDefense,brokeDown,comment
1,redAlliance,ZO,4905,True,False,False,False,False,False,0,0,1,0,0,1,3,0,3,1,1,0,1,2,0,2,True,2,0,0,2,0,2,3,0,3,1,1,0,False,False,False,False,False,False,There are 10 human body parts with 3 letters.
1,redAlliance,CF,5813,False,False,False,False,True,False,1,1,0,2,0,1,1,3,1,1,0,0,1,0,1,1,False,2,3,3,2,2,1,3,2,1,0,1,0,True,True,False,False,True,False,There are 10 human body parts with 3 letters.
1,redAlliance,MB,509,False,False,False,False,True,False,0,2,1,2,1,1,3,3,0,1,1,0,1,1,0,0,True,1,2,4,2,1,3,0,0,3,3,2,1,False,False,False,False,True,False,Wombat poop is cube-shaped.
1,blueAlliance,NY,1058,False,True,False,False,False,False,1,1,2,0,0,1,1,0,1,2,1,1,0,1,0,0,True,5,0,1,0,2,3,0,2,2,2,2,2,True,False,False,False,False,False,A teaspoon of neutron star would weigh 6 billion tons.
1,blueAlliance,JP,2084,False,False,False,False,True,False,1,1,1,2,0,1,0,1,2,0,0,1,1,2,0,2,False,1,3,4,4,0,0,0,2,1,2,0,2,False,True,False,False,True,False,The first computer virus was created in 1983.
1,blueAlliance,ZT,166,True,False,False,False,False,False,2,0,1,0,0,1,0,2,0,3,0,1,1,2,0,2,True,4,0,1,0,2,2,1,0,1,1,1,0,True,False,False,True,False,False,The dot over 'i' is called a tittle.
2,redAlliance,GI,1721,False,True,False,False,False,False,0,1,0,2,1,1,0,3,1,3,1,0,0,1,2,2,True,1,1,1,4,1,2,3,0,3,0,2,2,True,False,False,False,False,False,Penguins can't taste sweet.
2,redAlliance,PN,1729,True,False,False,False,False,False,1,1,1,1,1,1,0,1,2,1,0,0,0,2,2,1,False,4,3,5,3,2,1,1,2,0,2,1,1,False,True,True,True,False,False,The average cloud weighs 1.1 million pounds.
2,redAlliance,RO,8724,False,True,False,False,False,False,2,1,2,2,0,1,2,0,2,2,0,0,1,0,1,1,True,2,0,0,2,2,3,1,2,3,0,2,2,True,True,False,False,False,False,The average cloud weighs 1.1 million pounds.
2,blueAlliance,RU,246,False,False,True,False,False,False,0,1,0,2,0,1,0,3,1,1,1,1,0,1,1,0,True,5,0,3,0,1,1,1,3,0,0,0,0,False,True,False,False,True,False,The first computer virus was created in 1983.
2,blueAlliance,NL,5494,False,False,False,False,False,True,1,0,2,2,1,1,1,0,1,3,1,0,0,1,2,0,True,3,1,0,3,0,0,2,0,0,0,1,1,False,False,False,False,True,False,There's a species of jellyfish that can live forever.
